€215,000 	 27 The Avenue, Highlands, Drogheda, Louth
€335,000 	 Dunbin, Knockbridge, Dundalk, Louth
€230,000 	 8 Mount Auburn Close, Bryanstown, Drogheda, Louth
€475,000 	 The Reask (on 2 acres), Hill of Rath, Tullyallen, Drogheda, Louth
€295,000 	 15 Colpe View, Deepforde, Dublin Road, Drogheda, Louth
€290,000 	 102A Rosevale, Beamore Road, Drogheda, Louth
€120,000 	 122 Oakland Park, Dundalk, Louth
€160,000 	 256 St Finian's Park, Drogheda, Louth
€255,000 	 The Sanderling,Cnoc Na Mara, Blackrock, Louth
€440,000 	 15 Darabeag, Dundalk, Louth
€285,000 	 18 Parkwood, Roschoill, Dublin Road, Drogheda, Louth
€160,000 	 91 O'Hanlon Park, Dundalk, Louth
€225,000 	 Cornamucklagh , Omeath, Louth
€100,000 	 1 Woodview Terrace, Castletown Road, Dundalk, Co. Louth, A91 T2T0
Reserve Not To Exceed €115,000 	 1A Marian Park, Dundalk, Co. Louth
€125,000 	 21 Moneymore, Drogheda, Louth
Reserve Not To Exceed €90,000 	 22 Bryanstown Manor, Dublin Road, Drogheda, Co. Louth
€180,000 	 18 Finnabair Crescent, Dundalk, Co. Louth, A91 X4W0
€179,000 	 1 Elmore Lawns, Omeath, Louth
Reserve Not To Exceed €140,000 	 Apartment 64, The Square, Riverbank, Drogheda, Co. Louth
